"state"	"year"	"deaths"	"crude_rate"	"age_adj_rate"	"group"	"treat"
"Oklahoma"	2001	126	3.6	3.6	0	0
"Oklahoma"	2002	113	3.2	3.2	0	0
"Oklahoma"	2003	139	4	4	0	0
"Oklahoma"	2004	124	3.5	3.6	0	0
"Oklahoma"	2005	136	3.8	3.9	0	0
"Oklahoma"	2006	152	4.2	4.3	0	0
"Oklahoma"	2007	151	4.2	4.2	0	0
"Oklahoma"	2008	147	4	4.2	0	0
"Tennessee"	1994	382	7.3	7.1	0	0
"Tennessee"	1995	403	7.6	7.3	0	0
"Tennessee"	1996	367	6.8	6.6	0	0
"Tennessee"	1997	419	7.6	7.4	0	0
"Tennessee"	1998	349	6.3	6.1	0	0
"Tennessee"	1999	286	5.1	5	0	0
"Tennessee"	2000	343	6	6	0	0
"Tennessee"	2001	307	5.3	5.3	0	0
"Tennessee"	2002	323	5.6	5.5	0	0
"Tennessee"	2003	299	5.1	5.1	0	0
"Tennessee"	2004	286	4.8	4.8	0	0
"Tennessee"	2005	371	6.2	6.2	0	0
"Tennessee"	2006	330	5.4	5.5	0	0
"Tennessee"	2007	343	5.6	5.6	0	0
"Tennessee"	2008	336	5.4	5.5	0	0
